Loading times [ms],Atomnumber,Standard deviation
0.0,940440.6206896552,378480.33907215367
100.0,117728704.13793103,6833136.254406332
200.0,261260957.24137932,13043900.63276654
300.0,407017191.37931037,19210527.43053477
400.0,549656288.5862069,27649910.731267717
500.0,692158496.5862069,30850027.069472253
600.0,830996196.4827586,39122069.7663667
700.0,966448235.137931,42971042.575633414
800.0,1098881165.3448277,49265847.143779606
900.0,1224916948.9310346,54779074.41660306
1000.0,1346569955.4482758,58816558.949613474
1100.0,1477921664.2068965,65542985.93898337
1200.0,1595037749.9655173,68831164.75093688
1300.0,1707402232.413793,71881911.73013951
1400.0,1821841242.3793104,77320201.69929087
1500.0,1928508472.6206896,77033866.85622913
1600.0,2031850918.6551723,75645725.37461768
1700.0,2132836422.9655173,77004789.67196244
1800.0,2224469029.413793,83286683.09700014
1900.0,2317640063.413793,95315586.70863035
2000.0,2407620381.5172415,96720546.45273682
2100.0,2485718385.586207,98933199.45761736
2200.0,2561205631.62069,95536917.3660368
2300.0,2637654146.172414,94597865.07465139
2400.0,2727138473.413793,100036140.57947792
2500.0,2798338683.965517,104633995.38545649
